Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,24-239,DAL,@,SAS,W (+7),1,34:14,13,25,.520,3,11,.273,4,7,.571,1,12,13,10,2,0,4,1,33,28.4,+4
2,2,2023-10-27,24-241,DAL,,BRK,W (+5),1,36:02,16,25,.640,9,14,.643,8,10,.800,1,9,10,7,0,0,0,1,49,45.0,+9
3,3,2023-10-30,24-244,DAL,@,MEM,W (+15),1,40:00,11,22,.500,6,12,.500,7,10,.700,0,12,12,12,1,1,6,4,35,28.9,+6
4,4,2023-11-01,24-246,DAL,,CHI,W (+9),1,40:03,5,16,.313,1,8,.125,7,9,.778,0,7,7,10,2,1,6,2,18,13.0,+11
5,5,2023-11-03,24-248,DAL,@,DEN,L (-11),1,38:16,11,24,.458,6,11,.545,6,7,.857,3,7,10,8,0,1,9,2,34,21.9,-4
6,6,2023-11-05,24-250,DAL,,CHO,W (+6),1,36:25,8,19,.421,1,9,.111,6,7,.857,1,11,12,9,0,1,4,3,23,18.3,+3
7,7,2023-11-06,24-251,DAL,@,ORL,W (+15),1,35:09,9,17,.529,5,10,.500,6,6,1.000,0,3,3,6,2,0,6,2,29,21.0,+7
8,8,2023-11-08,24-253,DAL,,TOR,L (-11),1,38:24,11,26,.423,2,10,.200,7,10,.700,0,7,7,8,4,1,4,3,31,23.2,-7
9,9,2023-11-10,24-255,DAL,,LAC,W (+18),1,31:41,17,21,.810,6,9,.667,4,4,1.000,0,6,6,6,1,0,1,1,44,41.7,+32
10,10,2023-11-12,24-257,DAL,@,NOP,W (+12),1,27:59,11,18,.611,4,9,.444,4,5,.800,0,4,4,9,1,0,2,0,30,27.9,+14
11,11,2023-11-14,24-259,DAL,@,NOP,L (-21),1,26:15,5,16,.313,3,5,.600,3,5,.600,1,1,2,2,0,0,8,0,16,0.4,-26
12,12,2023-11-15,24-260,DAL,@,WAS,W (+13),1,32:25,7,18,.389,4,11,.364,8,12,.667,1,6,7,10,0,0,3,2,26,20.3,+12
13,13,2023-11-18,24-263,DAL,@,MIL,L (-7),1,35:19,15,26,.577,4,9,.444,1,4,.250,1,8,9,9,0,0,3,1,35,27.6,-17
