Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,45,2024-02-10,25-171,DAL,,OKC,W (+35),0,24:29,6,10,.600,1,4,.250,1,2,.500,1,4,5,1,1,0,2,3,14,9.4,+24
52,46,2024-02-12,25-173,DAL,,WAS,W (+8),1,35:41,4,11,.364,0,5,.000,1,2,.500,0,5,5,3,0,0,2,2,9,3.3,+8
53,47,2024-02-14,25-175,DAL,,SAS,W (+23),1,27:52,1,6,.167,1,3,.333,0,2,.000,1,5,6,2,0,1,1,2,3,0.9,+19
54,48,2024-02-22,25-183,DAL,,PHO,W (+10),1,30:35,4,10,.400,2,6,.333,2,2,1.000,2,4,6,1,1,1,1,3,12,9.4,+11
55,49,2024-02-25,25-186,DAL,@,IND,L (-22),1,30:31,1,6,.167,0,3,.000,0,0,,0,6,6,1,2,0,4,3,2,-2.5,-17
56,50,2024-02-27,25-188,DAL,@,CLE,L (-2),1,35:26,5,8,.625,1,3,.333,0,1,.000,0,2,2,2,3,1,0,2,11,11.9,+17
57,51,2024-02-28,25-189,DAL,@,TOR,W (+11),1,31:29,9,16,.563,5,10,.500,0,0,,2,4,6,0,0,3,2,1,23,17.7,-2
58,52,2024-03-01,25-191,DAL,@,BOS,L (-28),1,35:13,7,16,.438,3,9,.333,0,0,,2,5,7,0,0,1,0,2,17,11.4,-22
59,53,2024-03-03,25-193,DAL,,PHI,L (-4),1,35:29,3,10,.300,1,7,.143,6,6,1.000,2,2,4,2,1,0,2,2,13,8.8,+5
60,54,2024-03-05,25-195,DAL,,IND,L (-17),1,37:04,7,12,.583,4,8,.500,2,2,1.000,1,6,7,3,1,1,0,1,20,20.3,-10
61,55,2024-03-07,25-197,DAL,,MIA,W (+6),1,29:05,4,12,.333,1,6,.167,1,2,.500,4,4,8,1,1,1,1,1,10,7.8,-6
62,56,2024-03-09,25-199,DAL,@,DET,W (+18),1,28:58,2,4,.500,1,3,.333,2,2,1.000,0,2,2,1,2,0,0,0,7,8.3,+4
63,57,2024-03-11,25-201,DAL,@,CHI,W (+35),1,23:13,3,5,.600,1,3,.333,0,0,,0,5,5,0,2,1,0,2,7,8.1,+19
64,58,2024-03-13,25-203,DAL,,GSW,W (+10),1,34:00,5,11,.455,1,6,.167,0,0,,1,6,7,1,2,3,1,1,11,11.2,+28
65,59,2024-03-14,25-204,DAL,@,OKC,L (-7),1,35:30,1,11,.091,0,7,.000,4,8,.500,0,5,5,1,0,0,2,4,6,-4.3,+1
66,60,2024-03-17,25-207,DAL,,DEN,W (+2),1,30:49,2,10,.200,0,4,.000,0,0,,2,9,11,3,0,1,0,1,4,4.3,+7
67,61,2024-03-19,25-209,DAL,@,SAS,W (+6),1,34:01,3,8,.375,2,5,.400,0,0,,1,5,6,0,0,1,0,1,8,6.1,-18
68,62,2024-03-21,25-211,DAL,,UTA,W (+16),1,33:20,3,9,.333,0,4,.000,0,0,,1,4,5,1,2,2,1,5,6,3.9,+9
69,63,2024-03-25,25-215,DAL,@,UTA,W (+10),1,35:07,6,12,.500,2,6,.333,2,2,1.000,3,1,4,1,1,0,0,2,16,13.3,+6
70,64,2024-03-26,25-216,DAL,@,SAC,W (+36),1,32:20,5,11,.455,4,6,.667,0,2,.000,1,12,13,2,0,0,0,2,14,12.4,+25
71,65,2024-03-29,25-219,DAL,@,SAC,W (+4),1,33:23,2,10,.200,2,8,.250,1,2,.500,0,6,6,2,1,2,0,2,7,5.2,-3
72,66,2024-03-31,25-221,DAL,@,HOU,W (+18),1,28:09,4,8,.500,3,5,.600,1,2,.500,2,4,6,2,1,1,0,5,12,11.3,+16
73,67,2024-04-02,25-223,DAL,@,GSW,L (-4),1,35:41,8,19,.421,3,10,.300,1,2,.500,0,5,5,0,3,1,2,1,20,12.3,-7
74,68,2024-04-04,25-225,DAL,,ATL,W (+14),1,36:09,6,11,.545,5,8,.625,2,2,1.000,1,7,8,3,1,1,1,2,19,18.5,+15
75,69,2024-04-05,25-226,DAL,,GSW,W (+2),1,40:20,12,18,.667,5,8,.625,3,5,.600,0,5,5,3,5,2,4,2,32,28.6,+8
76,70,2024-04-07,25-228,DAL,,HOU,W (+11),1,43:23,5,12,.417,2,7,.286,2,2,1.000,2,11,13,2,0,2,0,1,14,14.7,+7
77,71,2024-04-09,25-230,DAL,@,CHO,W (+26),1,28:09,0,7,.000,0,6,.000,1,2,.500,2,5,7,3,1,0,3,3,1,-2.5,+10
78,72,2024-04-10,25-231,DAL,@,MIA,W (+19),1,34:43,5,11,.455,2,6,.333,0,1,.000,1,5,6,2,2,1,1,1,12,10.8,+10
79,73,2024-04-12,25-233,DAL,,DET,L (-18),1,14:55,4,8,.500,1,3,.333,0,0,,0,3,3,1,1,0,0,0,9,7.6,-7

